CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0_5.py
MEM 28731.066406 1683547449.2913
MEM 28934.738281 1683547449.3915
MEM 29138.152344 1683547449.4916
MEM 29341.695312 1683547449.5918
MEM 29545.238281 1683547449.6920
MEM 29749.296875 1683547449.7921
MEM 29952.839844 1683547449.8923
MEM 30156.253906 1683547449.9924
MEM 30359.667969 1683547450.0926
MEM 30562.824219 1683547450.1927
MEM 30766.109375 1683547450.2929
MEM 30969.265625 1683547450.3930
MEM 31172.679688 1683547450.4932
MEM 31375.835938 1683547450.5933
MEM 31575.511719 1683547450.6935
MEM 31779.054688 1683547450.7937
MEM 31982.210938 1683547450.8938
MEM 32186.011719 1683547450.9940
MEM 32389.683594 1683547451.0941
MEM 32592.839844 1683547451.1943
MEM 32796.640625 1683547451.2944
MEM 33000.183594 1683547451.3946
MEM 33203.984375 1683547451.4947
MEM 33407.527344 1683547451.5949
MEM 33611.328125 1683547451.6950
MEM 33815.000000 1683547451.7952
MEM 34018.414062 1683547451.8953
MEM 34221.441406 1683547451.9955
MEM 34424.726562 1683547452.0956
MEM 34624.402344 1683547452.1958
MEM 34827.945312 1683547452.2960
MEM 35030.843750 1683547452.3961
MEM 35234.128906 1683547452.4963
MEM 35437.929688 1683547452.5964
MEM 35641.343750 1683547452.6966
MEM 35844.628906 1683547452.7967
MEM 36047.914062 1683547452.8969
MEM 36251.585938 1683547452.9970
MEM 36455.515625 1683547453.0972
MEM 36659.187500 1683547453.1973
MEM 36862.214844 1683547453.2975
MEM 37065.371094 1683547453.3976
MEM 37268.914062 1683547453.4978
MEM 37472.457031 1683547453.5979
MEM 37672.777344 1683547453.6981
MEM 37876.062500 1683547453.7982
MEM 38079.605469 1683547453.8984
MEM 38283.019531 1683547453.9986
MEM 38486.433594 1683547454.0987
MEM 38689.976562 1683547454.1989
MEM 38893.648438 1683547454.2990
MEM 39096.804688 1683547454.3992
MEM 39300.089844 1683547454.4994
MEM 39503.246094 1683547454.5995
MEM 39706.660156 1683547454.6997
MEM 39909.945312 1683547454.7998
MEM 40113.488281 1683547454.9000
MEM 40316.644531 1683547455.0001
MEM 40519.156250 1683547455.1003
MEM 40719.605469 1683547455.2005
MEM 40923.019531 1683547455.3006
MEM 41126.304688 1683547455.4008
MEM 41329.203125 1683547455.5009
MEM 41532.617188 1683547455.6011
MEM 41736.417969 1683547455.7012
MEM 41940.089844 1683547455.8014
MEM 42143.890625 1683547455.9015
MEM 42347.562500 1683547456.0017
MEM 42551.363281 1683547456.1019
MEM 42754.777344 1683547456.2020
MEM 42958.578125 1683547456.3022
MEM 43162.378906 1683547456.4023
MEM 43366.179688 1683547456.5025
MEM 43570.238281 1683547456.6026
MEM 43770.816406 1683547456.7028
MEM 43974.617188 1683547456.8029
MEM 44178.546875 1683547456.9031
MEM 44381.832031 1683547457.0032
MEM 44585.632812 1683547457.1034
MEM 44788.917969 1683547457.2036
MEM 44992.589844 1683547457.3037
MEM 45196.261719 1683547457.4039
MEM 45400.191406 1683547457.5040
MEM 45603.863281 1683547457.6042
MEM 45807.535156 1683547457.7043
MEM 46011.335938 1683547457.8045
MEM 46215.136719 1683547457.9046
MEM 46419.195312 1683547458.0047
MEM 46622.867188 1683547458.1049
MEM 46823.703125 1683547458.2051
MEM 47026.859375 1683547458.3053
MEM 47230.531250 1683547458.4055
MEM 47433.945312 1683547458.5056
MEM 47637.746094 1683547458.6058
MEM 47841.289062 1683547458.7059
MEM 48045.218750 1683547458.8061
MEM 48249.148438 1683547458.9062
MEM 48452.949219 1683547459.0064
MEM 48656.621094 1683547459.1065
MEM 48860.550781 1683547459.2067
MEM 49064.738281 1683547459.3068
MEM 49268.667969 1683547459.4070
MEM 49472.468750 1683547459.5071
MEM 49676.785156 1683547459.6073
MEM 49877.105469 1683547459.7075
MEM 50080.519531 1683547459.8077
MEM 50284.449219 1683547459.9078
MEM 50488.378906 1683547460.0080
MEM 50692.437500 1683547460.1081
MEM 50896.367188 1683547460.2083
MEM 51100.425781 1683547460.3084
MEM 51304.484375 1683547460.4086
MEM 51508.414062 1683547460.5087
MEM 51712.343750 1683547460.6089
MEM 51916.531250 1683547460.7090
MEM 52120.589844 1683547460.8092
MEM 52324.648438 1683547460.9093
MEM 52528.835938 1683547461.0095
MEM 52732.765625 1683547461.1096
MEM 52933.859375 1683547461.2098
MEM 53137.789062 1683547461.3100
MEM 53341.847656 1683547461.4101
MEM 53545.648438 1683547461.5103
MEM 53749.835938 1683547461.6104
MEM 53953.894531 1683547461.7106
MEM 54158.339844 1683547461.8107
MEM 54362.656250 1683547461.9109
MEM 54567.101562 1683547462.0110
MEM 50991.207031 1683547462.1112
MEM 51225.207031 1683547462.2114
MEM 51457.207031 1683547462.3115
MEM 51687.207031 1683547462.4117
MEM 51917.207031 1683547462.5118
MEM 52153.207031 1683547462.6120
MEM 52385.207031 1683547462.7122
MEM 52619.207031 1683547462.8123
MEM 52851.207031 1683547462.9125
MEM 53085.207031 1683547463.0126
MEM 53317.207031 1683547463.1128
MEM 53551.207031 1683547463.2129
MEM 53783.207031 1683547463.3131
MEM 54015.207031 1683547463.4132
MEM 54247.207031 1683547463.5134
MEM 54481.207031 1683547463.6135
MEM 54715.207031 1683547463.7137
MEM 54945.207031 1683547463.8138
MEM 55173.207031 1683547463.9140
MEM 55405.207031 1683547464.0142
MEM 55639.207031 1683547464.1143
MEM 55871.207031 1683547464.2145
MEM 56107.207031 1683547464.3146
MEM 56343.207031 1683547464.4148
MEM 56581.207031 1683547464.5150
MEM 56821.207031 1683547464.6151
MEM 57061.207031 1683547464.7153
MEM 57301.207031 1683547464.8155
MEM 57543.207031 1683547464.9156
MEM 57785.207031 1683547465.0158
MEM 58031.207031 1683547465.1159
MEM 58275.207031 1683547465.2161
MEM 58515.207031 1683547465.3162
MEM 58749.207031 1683547465.4164
MEM 58985.207031 1683547465.5165
MEM 59217.207031 1683547465.6167
MEM 59443.207031 1683547465.7168
MEM 59673.207031 1683547465.8170
MEM 59903.207031 1683547465.9172
MEM 60141.207031 1683547466.0173
MEM 60369.207031 1683547466.1175
MEM 60603.207031 1683547466.2176
MEM 60835.207031 1683547466.3178
MEM 61067.207031 1683547466.4180
MEM 61297.207031 1683547466.5181
MEM 61529.207031 1683547466.6183
MEM 61763.207031 1683547466.7184
MEM 61995.207031 1683547466.8186
MEM 62225.207031 1683547466.9187
MEM 62459.207031 1683547467.0189
MEM 62691.207031 1683547467.1190
MEM 62919.207031 1683547467.2192
MEM 63153.207031 1683547467.3194
MEM 63387.207031 1683547467.4195
MEM 63619.207031 1683547467.5197
MEM 63855.207031 1683547467.6198
MEM 64091.207031 1683547467.7200
MEM 64323.207031 1683547467.8201
MEM 64559.207031 1683547467.9203
MEM 64799.207031 1683547468.0204
MEM 65039.207031 1683547468.1206
MEM 65271.207031 1683547468.2208
MEM 65503.207031 1683547468.3209
MEM 65735.207031 1683547468.4211
MEM 65971.207031 1683547468.5212
MEM 66207.207031 1683547468.6214
MEM 66439.207031 1683547468.7215
MEM 66675.207031 1683547468.8217
MEM 66911.207031 1683547468.9219
MEM 67147.207031 1683547469.0220
MEM 67383.207031 1683547469.1222
MEM 67623.207031 1683547469.2223
MEM 67863.207031 1683547469.3225
MEM 68103.207031 1683547469.4227
MEM 68345.207031 1683547469.5228
MEM 68585.207031 1683547469.6230
MEM 68825.207031 1683547469.7231
MEM 69065.207031 1683547469.8233
MEM 69303.207031 1683547469.9235
MEM 69543.207031 1683547470.0236
MEM 69783.207031 1683547470.1238
MEM 70025.207031 1683547470.2239
MEM 70263.207031 1683547470.3241
MEM 70503.207031 1683547470.4243
MEM 70743.207031 1683547470.5244
MEM 70983.207031 1683547470.6246
MEM 71221.207031 1683547470.7247
MEM 71463.207031 1683547470.8249
MEM 71703.207031 1683547470.9250
MEM 71943.207031 1683547471.0252
MEM 72183.207031 1683547471.1253
MEM 72421.207031 1683547471.2255
MEM 72661.207031 1683547471.3256
MEM 72901.207031 1683547471.4258
MEM 73139.207031 1683547471.5259
MEM 73381.207031 1683547471.6261
MEM 73621.207031 1683547471.7262
MEM 73859.207031 1683547471.8264
MEM 74099.207031 1683547471.9266
MEM 74339.207031 1683547472.0267
MEM 74575.207031 1683547472.1269
MEM 74815.207031 1683547472.2271
MEM 75053.207031 1683547472.3272
MEM 75291.207031 1683547472.4274
MEM 75533.207031 1683547472.5275
MEM 75773.207031 1683547472.6277
MEM 76011.207031 1683547472.7278
MEM 76249.207031 1683547472.8280
MEM 76487.207031 1683547472.9282
MEM 76725.207031 1683547473.0283
MEM 76963.207031 1683547473.1285
MEM 77197.207031 1683547473.2286
MEM 77435.207031 1683547473.3288
MEM 77671.207031 1683547473.4289
MEM 77897.207031 1683547473.5291
MEM 78131.207031 1683547473.6293
MEM 78367.207031 1683547473.7295
MEM 78605.207031 1683547473.8296
MEM 78839.207031 1683547473.9298
MEM 79075.207031 1683547474.0299
MEM 79309.207031 1683547474.1301
MEM 79541.207031 1683547474.2302
MEM 79775.207031 1683547474.3304
MEM 80005.207031 1683547474.4306
MEM 80239.207031 1683547474.5307
MEM 80471.207031 1683547474.6309
MEM 80701.207031 1683547474.7311
MEM 80927.207031 1683547474.8312
MEM 81155.207031 1683547474.9314
MEM 81369.207031 1683547475.0317
MEM 81591.207031 1683547475.1319
MEM 81809.207031 1683547475.2320
MEM 82029.207031 1683547475.3322
MEM 82245.207031 1683547475.4323
MEM 82459.207031 1683547475.5325
MEM 82669.207031 1683547475.6326
MEM 82873.207031 1683547475.7328
MEM 79842.187500 1683547475.8329
MEM 76524.449219 1683547475.9331
MEM 73107.050781 1683547476.0332
MEM 69683.101562 1683547476.1334
MEM 66402.378906 1683547476.2335
MEM 63227.582031 1683547476.3337
MEM 59915.148438 1683547476.4338
MEM 56694.621094 1683547476.5340
MEM 53415.933594 1683547476.6341
